College,Private,Apps,Accept,Enroll,Grad.Rate
University of North Texas,No,4418,2737,2049,35
University of Northern Colorado,No,5530,4007,1697,40
University of Northern Iowa,No,4144,3379,1853,77
University of Notre Dame,Yes,7700,3700,1906,97
University of Oklahoma,No,4743,3970,2233,44
University of Oregon,No,8631,6732,2546,54
University of Pennsylvania,Yes,12394,5232,2464,93
University of Pittsburgh-Main Campus,No,8586,6383,2503,66
University of Portland,Yes,1758,1485,419,72
University of Puget Sound,Yes,4044,2826,688,63
University of Rhode Island,No,9643,7751,1968,63
University of Richmond,Yes,5892,2718,756,100
University of Rochester,Yes,8766,5498,1243,80
University of San Diego,Yes,3934,2735,886,66
University of San Francisco,Yes,2306,1721,538,62
University of Sci. and Arts of Oklahoma,No,285,280,208,43
University of Scranton,Yes,4471,2942,910,92
University of South Carolina at Aiken,No,848,560,377,48
University of South Carolina at Columbia,No,7693,5815,2328,63
University of South Florida,No,7589,4676,1876,47
University of Southern California,Yes,12229,8498,2477,68
University of Southern Colorado,No,1401,1239,605,36
University of Southern Indiana,No,2379,2133,1292,38
University of Southern Mississippi,No,2850,2044,1046,45
University of St. Thomas MN,Yes,2057,1807,828,89
University of St. Thomas TX,Yes,374,280,185,62
University of Tennessee at Knoxville,No,7473,5372,3013,53
University of Texas at Arlington,No,3281,2559,1448,29
University of Texas at Austin,No,14752,9572,5329,65
University of Texas at San Antonio,No,4217,3100,1686,50
University of the Arts,Yes,974,704,290,57
University of the Pacific,Yes,2459,1997,582,65
University of the South,Yes,1445,966,326,82
University of Tulsa,Yes,1712,1557,696,47
University of Utah,No,5095,4491,2400,37
University of Vermont,No,7663,6008,1735,79
University of Virginia,No,15849,5384,2678,95
University of Washington,No,12749,7025,3343,65
University of West Florida,No,1558,1254,472,53
University of Wisconsin-Stout,No,2593,1966,1030,65
University of Wisconsin-Superior,No,910,910,342,36
University of Wisconsin-Whitewater,No,4400,3719,1472,67
University of Wisconsin at Green Bay,No,2409,1939,759,46
University of Wisconsin at Madison,No,14901,10932,4631,72
University of Wisconsin at Milwaukee,No,5244,3782,1930,38
University of Wyoming,No,2029,1516,1073,45
Upper Iowa University,Yes,663,452,192,78
Ursinus College,Yes,1399,1026,308,79
Ursuline College,Yes,325,260,86,68
Valley City State University,No,368,344,212,40
Valparaiso University,Yes,2075,1727,520,95
Vanderbilt University,Yes,7791,4690,1499,83
Vassar College,Yes,3550,1877,653,90
Villanova University,Yes,7759,5588,1477,96
Virginia Commonwealth University,No,4963,3497,1567,45
Virginia State University,No,2996,2440,704,31
Virginia Tech,No,15712,11719,4277,73
Virginia Union University,Yes,1847,1610,453,30
Virginia Wesleyan College,Yes,1470,900,287,68
Viterbo College,Yes,647,518,271,73
Voorhees College,Yes,1465,1006,188,58
Wabash College,Yes,800,623,256,72
Wagner College,Yes,1416,1015,417,75
Wake Forest University,Yes,5661,2392,903,89
Walsh University,Yes,1092,890,477,68
Warren Wilson College,Yes,440,311,112,63
Wartburg College,Yes,1231,1074,345,67
Washington and Jefferson College,Yes,1305,1100,334,86
Washington and Lee University,Yes,3315,1096,425,90
Washington College,Yes,1209,942,214,65
Washington State University,No,6540,5839,2440,56
Washington University,Yes,7654,5259,1254,90
Wayne State College,No,1373,1373,724,52
Waynesburg College,Yes,1190,978,324,63
Webber College,Yes,280,143,79,90
Webster University,Yes,665,462,226,48
Wellesley College,Yes,2895,1249,579,91
Wells College,Yes,318,240,130,69
Wentworth Institute of Technology,Yes,1480,1257,452,64
Wesley College,Yes,980,807,350,84
Wesleyan University,Yes,4772,1973,712,92
West Chester University of Penn.,No,6502,3539,1372,52
West Liberty State College,No,1164,1062,478,60
West Virginia Wesleyan College,Yes,1566,1400,483,67
Western Carolina University,No,3224,2519,1057,55
Western Maryland College,Yes,1205,984,278,60
Western Michigan University,No,9167,7191,2738,55
Western New England College,Yes,1650,1471,409,59
Western State College of Colorado,No,2702,1623,604,52
Western Washington University,No,5548,3563,1549,61
Westfield State College,No,3100,2150,825,65
Westminster College MO,Yes,662,553,184,62
Westminster College,Yes,996,866,377,80
Westminster College of Salt Lake City,Yes,917,720,213,50
Westmont College,No,950,713,351,87
Wheaton College IL,Yes,1432,920,548,85
Westminster College PA,Yes,1738,1373,417,71
Wheeling Jesuit College,Yes,903,755,213,72
Whitman College,Yes,1861,998,359,72
Whittier College,Yes,1681,1069,344,52
Whitworth College,Yes,1121,926,372,80
Widener University,Yes,2139,1492,502,63
Wilkes University,Yes,1631,1431,434,67
Willamette University,Yes,1658,1327,395,68
William Jewell College,Yes,663,547,315,59
William Woods University,Yes,469,435,227,52
Williams College,Yes,4186,1245,526,99
Wilson College,Yes,167,130,46,67
Wingate College,Yes,1239,1017,383,91
Winona State University,No,3325,2047,1301,58
Winthrop University,No,2320,1805,769,59
Wisconsin Lutheran College,Yes,152,128,75,50
Wittenberg University,Yes,1979,1739,575,78
Wofford College,Yes,1501,935,273,75
Worcester Polytechnic Institute,Yes,2768,2314,682,82
Worcester State College,No,2197,1515,543,40
Xavier University,Yes,1959,1805,695,83
Xavier University of Louisiana,Yes,2097,1915,695,49
Yale University,Yes,10705,2453,1317,99
York College of Pennsylvania,Yes,2989,1855,691,99
